name,longitude,latitude,historical,cdl
Alfalfa,-117.0982184,33.66024539,2019,36
Almonds,-120.5237764,37.09137397,2016,75
Cherries,-121.0331552,37.17718454,2019,66
Citrus,-119.1069544,35.04430059,2019,72
Corn,-120.5639734,37.57942301,2018,1
Misc_Vegs_&_Fruits,-100.8751903,41.07204224,2016,47
Olives,-121.0379834,37.29145761,2017,211
Peaches,-120.9677739,37.54865087,auto,67
Pistachios,-121.8926264,39.61894242,auto,204
Plums,-119.1447603,36.12548314,2018,220
Rice,-122.1305773,38.89071303,auto,3
Walnuts,-121.8860241,39.28658842,2019,76
Wine_Grapes,-119.212935,35.747075,2017,69
